r_hat,r1_hat,r2_hat,u_hat,t1_hat,t2_hat,t_hat,m1,m2,m1_obs,m2_obs,gamma,alpha1c,alpha2c,beta1c,beta2c,M1,M2,cells[0],cells[1],cells[2],WBC1[0],WBC1[1],WBC1[2]
0.025000,0.038623,0.050272,0.929876,107.459834,154.324922,197.480730,114.000000,159.000000,124.000000,162.000000,2568.000000,0.373007,0.202567,0.391848,0.268626,37010.000000,76277.000000,25898.000000,29889.000000,20490.000000,15708.000000,13805.000000,7497.000000
0.024961,0.040843,0.051365,0.897815,149.271362,250.074758,133.423651,141.000000,193.000000,156.000000,242.000000,3080.000000,0.178281,0.012408,0.227789,0.019566,27322.000000,48400.000000,36428.000000,11025.000000,947.000000,22112.000000,4871.000000,339.000000
0.023544,0.039774,0.049872,1.088847,93.331965,146.179499,181.131325,115.000000,169.000000,129.000000,181.000000,3119.000000,0.513291,0.082884,0.566163,0.111881,37281.000000,74883.000000,24109.000000,42396.000000,8378.000000,15055.000000,19136.000000,3090.000000
0.024436,0.038652,0.050309,0.912085,101.309418,220.232026,137.543542,108.000000,170.000000,116.000000,219.000000,2736.000000,0.535447,0.009777,0.601612,0.013869,37845.000000,72969.000000,28058.000000,43899.000000,1012.000000,17211.000000,20264.000000,370.000000
0.025316,0.039336,0.038942,0.981049,157.035637,189.396380,174.366594,111.000000,159.000000,179.000000,211.000000,3597.000000,0.025306,0.024700,0.032971,0.031929,16518.000000,27843.000000,26036.000000,918.000000,889.000000,15692.000000,418.000000,408.000000
0.027360,0.038560,0.052521,1.051457,103.410974,156.906231,175.102899,121.000000,175.000000,136.000000,185.000000,3066.000000,0.266717,0.107648,0.293383,0.156548,32049.000000,63003.000000,34656.000000,18484.000000,9863.000000,20051.000000,8548.000000,3450.000000
0.025166,0.040158,0.054931,0.981557,126.898043,302.714069,32.618595,113.000000,172.000000,149.000000,315.000000,3282.000000,0.246102,0.000074,0.305814,0.000123,27062.000000,48621.000000,33746.000000,14869.000000,6.000000,20400.000000,6660.000000,2.000000
0.035498,0.040383,0.049222,0.923553,128.991031,190.825064,195.587700,135.000000,194.000000,142.000000,195.000000,2099.000000,0.822943,0.168299,0.797634,0.194668,33684.000000,77938.000000,600.000000,62166.000000,15172.000000,295.000000,27720.000000,5669.000000
0.024881,0.040933,0.048926,1.004690,106.953830,213.463689,146.441171,122.000000,178.000000,132.000000,235.000000,3353.000000,0.233163,0.015323,0.292814,0.022579,31716.000000,57265.000000,39204.000000,16768.000000,1293.000000,23835.000000,7395.000000,486.000000
0.024513,0.042382,0.047786,0.913447,177.839588,172.844720,200.589500,111.000000,169.000000,184.000000,177.000000,3000.000000,0.054625,0.179782,0.069105,0.253396,31121.000000,57420.000000,38902.000000,3968.000000,14550.000000,23826.000000,1700.000000,5595.000000
0.024259,0.041122,0.044402,0.815767,135.041439,217.743071,188.201884,122.000000,187.000000,130.000000,196.000000,2475.000000,0.411643,0.045758,0.485564,0.057635,38288.000000,73879.000000,33748.000000,35873.000000,4258.000000,20775.000000,15761.000000,1752.000000
0.030485,0.030318,0.049119,0.983781,173.363172,174.806783,166.997193,123.000000,179.000000,203.000000,192.000000,2693.000000,0.218863,0.247466,0.196334,0.323326,5524.000000,11292.000000,5424.000000,2217.000000,3651.000000,2948.000000,1209.000000,1367.000000
0.025067,0.040316,0.051841,0.996111,101.688028,189.522409,177.562095,123.000000,189.000000,126.000000,208.000000,2663.000000,0.535544,0.112889,0.571642,0.151735,31243.000000,65555.000000,18134.000000,37474.000000,9947.000000,10984.000000,16732.000000,3527.000000
0.022958,0.039936,0.051928,0.782536,164.088726,213.319592,167.092162,119.000000,181.000000,148.000000,182.000000,2339.000000,0.490487,0.051295,0.556126,0.073922,40472.000000,79340.000000,29352.000000,44123.000000,5865.000000,18545.000000,19851.000000,2076.000000
0.025148,0.040178,0.049253,1.034207,102.744886,169.213791,194.607028,131.000000,190.000000,132.000000,196.000000,2778.000000,0.536725,0.117567,0.574874,0.150983,46195.000000,96329.000000,26408.000000,55377.000000,14544.000000,15970.000000,24794.000000,5431.000000
0.025154,0.042038,0.049517,0.969128,126.863045,217.131573,166.669607,118.000000,181.000000,146.000000,230.000000,3347.000000,0.103736,0.041102,0.136214,0.062679,34694.000000,61249.000000,49067.000000,8343.000000,3839.000000,29669.000000,3599.000000,1426.000000
0.024938,0.039711,0.050635,1.019361,119.026127,163.699093,192.772408,116.000000,186.000000,147.000000,187.000000,2898.000000,0.397756,0.132103,0.436142,0.180222,47690.000000,96237.000000,36920.000000,41973.000000,17344.000000,22421.000000,18969.000000,6300.000000
0.025485,0.039015,0.050263,0.883070,122.715015,185.071564,197.624702,105.000000,168.000000,131.000000,181.000000,2600.000000,0.221968,0.183513,0.245174,0.253834,41087.000000,81171.000000,40666.000000,19901.000000,20604.000000,24427.000000,9120.000000,7540.000000
0.026526,0.042496,0.069315,0.970181,142.416980,319.531467,45.849625,142.000000,194.000000,161.000000,324.000000,3052.000000,0.257343,0.000226,0.322821,0.000484,26591.000000,49591.000000,33558.000000,16009.000000,24.000000,19742.000000,6843.000000,6.000000
0.025588,0.040009,0.051192,0.923321,121.216899,171.082178,178.336459,129.000000,175.000000,135.000000,176.000000,2658.000000,0.439830,0.067380,0.492299,0.094322,49169.000000,97782.000000,40421.000000,48138.000000,9223.000000,24230.000000,21626.000000,3313.000000
0.024714,0.042739,0.056114,1.091561,101.194589,157.157820,162.387328,120.000000,186.000000,136.000000,191.000000,2864.000000,0.227471,0.273875,0.243791,0.383541,10775.000000,23635.000000,8808.000000,5762.000000,9065.000000,5373.000000,2451.000000,2951.000000
0.024636,0.040175,0.051721,1.103072,112.905796,139.313360,167.266078,116.000000,167.000000,152.000000,175.000000,2576.000000,0.757818,0.167671,0.740309,0.206345,12119.000000,27706.000000,1478.000000,20511.000000,5717.000000,903.000000,9184.000000,2032.000000
0.024094,0.039987,0.050589,1.002932,166.430568,181.642205,165.069123,123.000000,184.000000,192.000000,202.000000,3740.000000,0.024306,0.048644,0.032021,0.079221,31638.000000,53433.000000,47489.000000,1711.000000,4233.000000,29330.000000,769.000000,1539.000000
0.024163,0.039891,0.048404,0.897752,119.737793,192.094086,200.843741,125.000000,189.000000,130.000000,191.000000,2319.000000,0.653542,0.121693,0.679410,0.149991,52041.000000,111167.000000,18965.000000,75528.000000,16674.000000,11697.000000,34011.000000,6333.000000
0.025425,0.042767,0.049620,0.919263,159.372550,213.729674,206.606327,127.000000,202.000000,168.000000,215.000000,2816.000000,0.028422,0.244466,0.034543,0.340754,42959.000000,83142.000000,51939.000000,2872.000000,28331.000000,31236.000000,1221.000000,10502.000000
0.024874,0.037551,0.050228,0.968907,189.076840,178.252333,168.231395,131.000000,182.000000,209.000000,192.000000,3522.000000,0.016127,0.051414,0.020009,0.082198,33298.000000,56875.000000,51062.000000,1138.000000,4675.000000,31049.000000,537.000000,1712.000000
0.025270,0.039045,0.049047,0.898117,145.858141,200.072660,210.926713,127.000000,197.000000,154.000000,198.000000,2644.000000,0.125851,0.257915,0.138492,0.346676,45228.000000,89738.000000,46200.000000,12428.000000,31110.000000,27871.000000,5692.000000,11665.000000
0.024824,0.043926,0.050663,1.165854,137.631983,156.098364,181.817601,125.000000,179.000000,187.000000,205.000000,4089.000000,0.014102,0.094028,0.019308,0.147310,38648.000000,67952.000000,56630.000000,1312.000000,10010.000000,34469.000000,545.000000,3634.000000
0.024147,0.040248,0.042335,0.990299,138.740762,203.582967,175.310646,133.000000,179.000000,162.000000,225.000000,3695.000000,0.074852,0.019717,0.099594,0.027352,36365.000000,61128.000000,53368.000000,6088.000000,1672.000000,32926.000000,2722.000000,717.000000
0.024501,0.040166,0.050416,0.970620,136.855776,182.097552,192.023372,121.000000,183.000000,157.000000,196.000000,3212.000000,0.096367,0.131391,0.117210,0.196167,44455.000000,81614.000000,56038.000000,9566.000000,16010.000000,34330.000000,4284.000000,5841.000000
0.025193,0.040792,0.045715,1.062246,80.922334,186.175221,120.953238,110.000000,182.000000,112.000000,221.000000,3094.000000,0.514590,0.002918,0.590810,0.003697,34612.000000,68164.000000,27640.000000,40272.000000,252.000000,16700.000000,17811.000000,101.000000
0.024890,0.039777,0.051993,0.909048,110.166149,201.877043,183.590191,112.000000,175.000000,123.000000,201.000000,2877.000000,0.152818,0.132939,0.179179,0.199009,37175.000000,70248.000000,43681.000000,12587.000000,13980.000000,26552.000000,5681.000000,4942.000000
0.024776,0.041819,0.051033,1.116231,100.613473,155.099724,183.377193,136.000000,192.000000,139.000000,195.000000,3548.000000,0.201769,0.092362,0.247628,0.136293,45235.000000,85067.000000,52408.000000,21065.000000,11594.000000,31930.000000,9127.000000,4178.000000
0.024563,0.040029,0.050307,0.969015,91.631554,176.197269,182.503063,111.000000,185.000000,113.000000,190.000000,3282.000000,0.124813,0.083092,0.154430,0.126269,42736.000000,76915.000000,55325.000000,11878.000000,9712.000000,33851.000000,5334.000000,3551.000000
0.024468,0.040869,0.047813,1.134860,121.805048,168.535992,168.735318,122.000000,182.000000,166.000000,215.000000,3939.000000,0.167122,0.027669,0.214547,0.040814,44309.000000,78160.000000,58201.000000,16769.000000,3190.000000,35678.000000,7405.000000,1226.000000
0.024270,0.040297,0.050894,0.949420,114.216731,207.858743,185.355415,131.000000,199.000000,132.000000,216.000000,2189.000000,0.860433,0.121376,0.840542,0.146561,37215.000000,85289.000000,1100.000000,71689.000000,12500.000000,677.000000,32021.000000,4517.000000
0.024181,0.039867,0.053643,1.005274,102.245031,174.340559,162.700981,109.000000,166.000000,128.000000,194.000000,2826.000000,0.566607,0.050890,0.620503,0.073409,41482.000000,84077.000000,25735.000000,52170.000000,6172.000000,15867.000000,23504.000000,2111.000000
0.024313,0.040759,0.049034,0.916878,124.885861,168.289711,203.408138,117.000000,169.000000,137.000000,173.000000,2413.000000,0.492315,0.182984,0.522674,0.229230,43982.000000,93609.000000,23224.000000,48927.000000,21458.000000,14281.000000,21653.000000,8048.000000
0.023918,0.039352,0.052214,0.896878,102.810733,206.073725,175.965661,113.000000,181.000000,115.000000,202.000000,2902.000000,0.300885,0.055148,0.356012,0.084394,62396.000000,115850.000000,64829.000000,41244.000000,9777.000000,40181.000000,18774.000000,3441.000000
0.024297,0.040993,0.055072,1.028804,126.265907,170.410392,106.626856,110.000000,172.000000,155.000000,194.000000,3516.000000,0.234211,0.004765,0.298166,0.008039,24764.000000,44160.000000,30638.000000,13167.000000,355.000000,18846.000000,5800.000000,118.000000
0.025872,0.038471,0.047833,0.862254,118.975209,186.689567,200.920113,120.000000,174.000000,125.000000,179.000000,2549.000000,0.378038,0.093834,0.419256,0.125495,61097.000000,118913.000000,54135.000000,49855.000000,14923.000000,32267.000000,23097.000000,5733.000000
0.023598,0.036289,0.047993,1.017169,81.569867,179.720424,148.464239,110.000000,167.000000,111.000000,204.000000,3884.000000,0.093429,0.013534,0.116295,0.021289,35171.000000,58386.000000,50353.000000,6790.000000,1243.000000,31409.000000,3286.000000,476.000000
0.024326,0.040588,0.050897,0.947281,128.432056,185.149136,159.301851,126.000000,179.000000,145.000000,194.000000,2717.000000,0.543559,0.027833,0.612550,0.038548,43114.000000,86153.000000,30059.000000,52773.000000,3321.000000,18479.000000,23435.000000,1200.000000
0.025254,0.036257,0.050948,1.136410,98.254358,163.404712,130.807787,103.000000,145.000000,143.000000,208.000000,4229.000000,0.014111,0.006494,0.017448,0.010771,43582.000000,72787.000000,70733.000000,1270.000000,784.000000,42684.000000,615.000000,283.000000
0.025475,0.034857,0.051367,1.064365,129.151781,159.042353,167.983332,130.000000,186.000000,168.000000,190.000000,3781.000000,0.050731,0.038627,0.059036,0.062538,51803.000000,89386.000000,78519.000000,5277.000000,5590.000000,47174.000000,2628.000000,2001.000000
0.025017,0.038807,0.048861,0.934572,86.582464,162.505095,207.211537,101.000000,165.000000,105.000000,171.000000,2596.000000,0.523484,0.109397,0.559351,0.142926,85825.000000,174545.000000,51966.000000,97632.000000,24947.000000,31508.000000,44928.000000,9389.000000
0.025181,0.039817,0.052479,0.985596,97.653250,144.297477,151.553686,99.000000,154.000000,121.000000,161.000000,3188.000000,0.244594,0.042815,0.294157,0.066329,23263.000000,42892.000000,27430.000000,12617.000000,2845.000000,16577.000000,5690.000000,996.000000
0.025398,0.039810,0.060648,1.019039,129.928412,200.382406,121.658556,118.000000,187.000000,158.000000,221.000000,3544.000000,0.116401,0.015167,0.147273,0.029113,31383.000000,54993.000000,45293.000000,8099.000000,1601.000000,27254.000000,3653.000000,476.000000
0.024220,0.036968,0.050097,0.837925,153.156738,198.435380,140.380288,133.000000,180.000000,151.000000,183.000000,2238.000000,0.844262,0.033224,0.859383,0.043974,12521.000000,25765.000000,2490.000000,22142.000000,1133.000000,1534.000000,10571.000000,416.000000
0.024829,0.040430,0.050047,0.918716,108.060159,244.518279,125.565853,118.000000,171.000000,122.000000,243.000000,2404.000000,0.756665,0.007633,0.806298,0.009859,25808.000000,54367.000000,9995.000000,43836.000000,536.000000,6083.000000,19528.000000,197.000000
0.024835,0.040127,0.044365,1.068794,125.715976,171.136116,140.524925,114.000000,166.000000,161.000000,207.000000,3939.000000,0.068064,0.003471,0.090070,0.005000,60502.000000,102009.000000,92311.000000,9188.000000,510.000000,56174.000000,4118.000000,210.000000
0.025618,0.041649,0.049431,1.229656,97.161714,140.790438,190.127917,117.000000,179.000000,149.000000,198.000000,4256.000000,0.031276,0.069210,0.040887,0.105718,64875.000000,114143.000000,97409.000000,4667.000000,12067.000000,58356.000000,2029.000000,4490.000000
0.023921,0.044796,0.050706,0.916431,198.097162,191.969215,180.115828,123.000000,189.000000,202.000000,194.000000,3460.000000,0.004120,0.053604,0.006013,0.088056,62626.000000,105103.000000,95216.000000,632.000000,9255.000000,59011.000000,258.000000,3357.000000
0.025535,0.039842,0.065784,0.966604,119.737550,267.230777,86.031497,113.000000,171.000000,140.000000,273.000000,3177.000000,0.262633,0.000929,0.321309,0.001910,82861.000000,150257.000000,101691.000000,48279.000000,287.000000,61022.000000,21762.000000,77.000000
0.024569,0.039768,0.049187,1.098901,81.324211,148.019494,176.319402,113.000000,161.000000,117.000000,185.000000,3085.000000,0.616041,0.022996,0.676856,0.030504,94971.000000,191481.000000,56035.000000,129605.000000,5841.000000,34281.000000,58506.000000,2184.000000
0.026043,0.038520,0.052761,0.934707,129.168138,185.388857,180.674375,125.000000,184.000000,145.000000,191.000000,3135.000000,0.083281,0.059240,0.100319,0.094875,81111.000000,145486.000000,117088.000000,14595.000000,13803.000000,69551.000000,6755.000000,4805.000000
0.024116,0.039451,0.051501,1.017647,85.692575,137.808469,179.378577,95.000000,143.000000,113.000000,160.000000,3517.000000,0.181776,0.041782,0.225444,0.065942,87861.000000,155941.000000,110502.000000,35156.000000,10283.000000,68219.000000,15971.000000,3671.000000
0.024710,0.039889,0.051385,0.951792,97.856519,189.618427,164.128525,109.000000,172.000000,117.000000,199.000000,2497.000000,0.748820,0.024134,0.790902,0.032080,68202.000000,143392.000000,25383.000000,113409.000000,4600.000000,15485.000000,51071.000000,1646.000000
0.025808,0.039217,0.046821,0.967263,93.393013,198.850866,171.783302,111.000000,164.000000,115.000000,213.000000,2971.000000,0.398222,0.013100,0.461078,0.017659,93129.000000,176226.000000,91860.000000,81254.000000,3112.000000,54823.000000,37086.000000,1220.000000
0.024485,0.039698,0.051609,1.032441,98.787570,174.339007,174.156194,118.000000,190.000000,128.000000,200.000000,3783.000000,0.049559,0.035692,0.064392,0.058849,79905.000000,136042.000000,119276.000000,8760.000000,8006.000000,73093.000000,3960.000000,2852.000000
0.025295,0.041933,0.048279,0.955947,128.880451,201.056810,191.574432,122.000000,195.000000,146.000000,212.000000,3358.000000,0.056201,0.048900,0.074606,0.073698,80941.000000,141048.000000,120130.000000,10523.000000,10395.000000,72434.000000,4549.000000,3958.000000
0.025661,0.038158,0.049364,1.013783,126.686171,201.683568,176.070978,140.000000,210.000000,155.000000,225.000000,3558.000000,0.077042,0.028040,0.095217,0.043362,79100.000000,137287.000000,118262.000000,13072.000000,5953.000000,70788.000000,6094.000000,2218.000000
0.025166,0.042031,0.037718,0.955456,149.947148,162.926065,193.263724,129.000000,179.000000,166.000000,181.000000,3532.000000,0.029990,0.009816,0.041408,0.012433,70189.000000,117828.000000,111484.000000,4879.000000,1465.000000,67395.000000,2105.000000,689.000000
