r_hat,r1_hat,r2_hat,u_hat,t1_hat,t2_hat,tau1_hat,tau2_hat,m1,m2,m1_obs,m2_obs,gamma,alpha1,alpha2,beta1,beta2,M1,M2,cells[0],cells[1],cells[2],WBC1[0],WBC1[1],WBC1[2]
0.250908,0.282416,0.357899,1.050490,19.305612,24.812092,14.888311,17.019639,20.000000,26.000000,24.000000,29.000000,394.000000,0.002725,0.017974,0.003148,0.030289,24591.000000,87358.000000,84437.000000,275.000000,2646.000000,24082.000000,67.000000,442.000000
0.249153,0.305036,0.325805,0.877061,17.244785,26.575146,20.340444,13.845274,16.000000,25.000000,18.000000,26.000000,332.000000,0.023867,0.004388,0.031256,0.006375,20740.000000,72786.000000,70047.000000,2275.000000,464.000000,20154.000000,495.000000,91.000000
0.249751,0.280974,0.342822,0.880762,18.013194,24.332177,18.062778,13.866071,14.000000,21.000000,19.000000,24.000000,334.000000,0.006919,0.005016,0.008055,0.007956,23124.000000,80944.000000,79648.000000,652.000000,644.000000,22848.000000,160.000000,116.000000
0.251758,0.309833,0.322241,0.929844,20.432354,29.160229,15.051441,14.670337,17.000000,26.000000,22.000000,30.000000,350.000000,0.004290,0.004574,0.005717,0.006484,24707.000000,87291.000000,86226.000000,499.000000,566.000000,24488.000000,106.000000,113.000000
0.248714,0.290199,0.342561,1.055525,23.081186,25.502704,19.514051,15.332357,24.000000,25.000000,28.000000,30.000000,401.000000,0.011640,0.007719,0.014219,0.012252,24743.000000,86435.000000,84147.000000,1229.000000,1059.000000,24264.000000,288.000000,191.000000
0.247641,0.298197,0.512990,0.996957,20.719769,38.172746,20.978611,0.000000,23.000000,27.000000,24.000000,40.000000,372.000000,0.127696,0.000245,0.158493,0.000890,4080.000000,14600.000000,12273.000000,2314.000000,13.000000,3558.000000,521.000000,1.000000
0.250066,0.308480,0.313955,1.043218,14.971169,17.903411,17.469760,14.913405,17.000000,20.000000,19.000000,22.000000,395.000000,0.008526,0.004205,0.011367,0.005761,25686.000000,90084.000000,88541.000000,1024.000000,519.000000,25359.000000,219.000000,108.000000
0.251899,0.281965,0.345330,0.975376,29.261325,21.710119,22.486337,16.630469,29.000000,23.000000,32.000000,24.000000,361.000000,0.052838,0.029075,0.059859,0.045217,10731.000000,38791.000000,34715.000000,2322.000000,1754.000000,9852.000000,567.000000,312.000000
0.253694,0.325021,0.338919,1.157965,21.967202,23.820539,16.143656,11.231772,23.000000,26.000000,29.000000,31.000000,416.000000,0.106323,0.025182,0.143430,0.036415,1787.000000,6728.000000,5518.000000,965.000000,245.000000,1552.000000,190.000000,45.000000
0.249442,0.297073,0.339127,0.850695,18.968503,33.492043,23.174379,17.887403,18.000000,29.000000,19.000000,31.000000,319.000000,0.040712,0.017960,0.050592,0.027541,23998.000000,85291.000000,78627.000000,4315.000000,2349.000000,22590.000000,977.000000,431.000000
0.250205,0.287696,0.366735,1.143442,14.015159,20.011599,20.877429,14.205052,16.000000,25.000000,20.000000,26.000000,428.000000,0.034925,0.015742,0.041314,0.027647,11625.000000,41415.000000,38559.000000,1711.000000,1145.000000,11036.000000,406.000000,183.000000
0.250408,0.297844,0.346503,0.935442,19.091814,21.701332,15.872045,16.813692,19.000000,22.000000,21.000000,23.000000,351.000000,0.007190,0.021569,0.008977,0.034351,15717.000000,55807.000000,53389.000000,501.000000,1917.000000,15265.000000,113.000000,339.000000
0.250283,0.295334,0.334597,1.007170,12.500098,21.833354,22.053788,15.665862,15.000000,24.000000,16.000000,25.000000,375.000000,0.065513,0.018371,0.079971,0.027289,10288.000000,36901.000000,32943.000000,2951.000000,1007.000000,9425.000000,674.000000,189.000000
0.250699,0.298423,0.366005,1.217145,13.902540,14.521282,21.095095,13.521017,18.000000,18.000000,21.000000,21.000000,457.000000,0.026589,0.006917,0.033337,0.012159,20384.000000,72293.000000,69004.000000,2410.000000,879.000000,19701.000000,542.000000,141.000000
0.246997,0.294745,0.379516,0.855332,21.159113,24.255216,18.719424,12.361406,18.000000,22.000000,21.000000,23.000000,327.000000,0.012066,0.005282,0.015194,0.010162,20637.000000,71540.000000,69726.000000,1087.000000,727.000000,20279.000000,249.000000,109.000000
0.251209,0.266785,0.334583,1.017748,17.868025,20.592689,17.185984,15.470436,19.000000,19.000000,22.000000,24.000000,383.000000,0.006604,0.011927,0.007091,0.017976,14840.000000,52460.000000,51145.000000,372.000000,943.000000,14565.000000,98.000000,177.000000
