r_hat,r1_hat,r2_hat,u_hat,t1_hat,t2_hat,t_hat,m1,m2,m1_obs,m2_obs,gamma,alpha1c,alpha2c,beta1c,beta2c,M1,M2,cells[0],cells[1],cells[2],WBC1[0],WBC1[1],WBC1[2]
0.072390,0.083738,0.139641,0.893162,61.952739,77.929706,74.849148,42.000000,75.000000,66.000000,76.000000,648.000000,0.226388,0.749912,0.089158,0.903403,2827.000000,38314.000000,285.000000,3416.000000,34613.000000,67.000000,640.000000,2120.000000
0.069986,0.090785,0.140334,1.127853,32.430357,61.145463,73.975146,38.000000,70.000000,49.000000,77.000000,1020.000000,0.172662,0.298178,0.130311,0.606230,6533.000000,53196.000000,14015.000000,6932.000000,32249.000000,3457.000000,1128.000000,1948.000000
0.074308,0.088184,0.138936,0.930735,38.083379,84.128129,74.646581,43.000000,82.000000,46.000000,85.000000,821.000000,0.553939,0.285611,0.378466,0.538476,6943.000000,59284.000000,4924.000000,22437.000000,31923.000000,1114.000000,3846.000000,1983.000000
0.069698,0.091636,0.136806,1.047832,32.033033,59.494991,72.528069,40.000000,69.000000,45.000000,70.000000,1082.000000,0.087018,0.186004,0.085743,0.452334,7102.000000,45053.000000,20811.000000,3863.000000,20379.000000,5163.000000,618.000000,1321.000000
0.070345,0.091410,0.140315,1.041945,48.564436,74.451392,67.293228,45.000000,72.000000,62.000000,85.000000,1088.000000,0.478950,0.086937,0.481352,0.232357,8765.000000,54270.000000,15537.000000,26123.000000,12610.000000,3805.000000,4198.000000,762.000000
0.068606,0.091096,0.138022,1.029604,30.786137,66.569551,71.185698,38.000000,73.000000,43.000000,76.000000,1075.000000,0.364377,0.122155,0.362889,0.310980,9578.000000,59470.000000,19395.000000,21581.000000,18494.000000,4918.000000,3490.000000,1170.000000
0.071247,0.092272,0.141451,1.021570,25.381200,52.642390,77.269244,34.000000,58.000000,37.000000,61.000000,794.000000,0.132382,0.540846,0.073824,0.806502,6096.000000,69205.000000,8282.000000,5109.000000,55814.000000,1992.000000,807.000000,3297.000000
0.067920,0.087416,0.143793,1.131916,39.800965,55.771088,72.633822,28.000000,69.000000,58.000000,71.000000,1078.000000,0.129801,0.233113,0.101324,0.561935,8305.000000,61121.000000,20582.000000,6193.000000,34346.000000,5291.000000,1078.000000,1936.000000
0.067527,0.088867,0.139497,0.939554,41.963912,87.557162,70.337760,39.000000,71.000000,50.000000,89.000000,991.000000,0.487538,0.099081,0.473311,0.264788,11314.000000,68923.000000,18051.000000,32622.000000,18250.000000,4677.000000,5516.000000,1121.000000
0.069253,0.083958,0.140499,1.087189,32.239901,56.348954,77.323353,32.000000,63.000000,48.000000,69.000000,849.000000,0.283621,0.542414,0.135460,0.802623,5800.000000,65104.000000,4031.000000,8819.000000,52254.000000,1009.000000,1645.000000,3146.000000
0.071577,0.091372,0.141008,1.035101,37.360134,75.991850,77.725410,41.000000,80.000000,50.000000,86.000000,867.000000,0.292532,0.378701,0.190479,0.665433,9052.000000,86440.000000,12455.000000,16465.000000,57520.000000,2976.000000,2648.000000,3428.000000
0.070391,0.089670,0.137595,1.007200,34.519219,65.210451,72.746979,43.000000,70.000000,46.000000,73.000000,1047.000000,0.486845,0.105166,0.468777,0.264068,13493.000000,84217.000000,22499.000000,39479.000000,22239.000000,5505.000000,6569.000000,1419.000000
0.071933,0.092111,0.137201,0.949416,42.860718,78.027036,78.703629,33.000000,77.000000,51.000000,81.000000,885.000000,0.195309,0.268401,0.160765,0.544383,11725.000000,89889.000000,26504.000000,14451.000000,48934.000000,6288.000000,2290.000000,3147.000000
0.070187,0.088733,0.138319,0.987913,39.342015,67.675739,80.465961,39.000000,70.000000,50.000000,74.000000,839.000000,0.241665,0.403843,0.153438,0.691238,10618.000000,98639.000000,15321.000000,15135.000000,68183.000000,3764.000000,2566.000000,4288.000000
0.068690,0.109291,0.142013,0.912636,46.732201,53.223351,77.527468,28.000000,52.000000,51.000000,55.000000,794.000000,0.005115,0.368685,0.005154,0.714735,9580.000000,84602.000000,23698.000000,436.000000,60468.000000,5999.000000,49.000000,3532.000000
0.067340,0.092702,0.139748,1.043280,42.889605,70.484062,78.087378,48.000000,80.000000,56.000000,81.000000,942.000000,0.372369,0.270425,0.290824,0.541184,12399.000000,101374.000000,17030.000000,29482.000000,54862.000000,4429.000000,4617.000000,3353.000000
0.069294,0.100816,0.138662,0.925733,65.696663,80.286429,70.755710,52.000000,73.000000,70.000000,81.000000,1071.000000,0.008200,0.099363,0.011797,0.304721,11463.000000,59845.000000,40903.000000,706.000000,18236.000000,10230.000000,94.000000,1139.000000
0.071380,0.095761,0.136676,1.193634,31.446186,56.354555,63.800336,39.000000,62.000000,50.000000,76.000000,1424.000000,0.135711,0.037851,0.186156,0.117685,10515.000000,52037.000000,36226.000000,9687.000000,6124.000000,8690.000000,1427.000000,398.000000
