r_hat,r1_hat,r2_hat,u_hat,t1_hat,t2_hat,tau1_hat,tau2_hat,m1,m2,m1_obs,m2_obs,gamma,alpha1,alpha2,beta1,beta2,M1,M2,cells[0],cells[1],cells[2],WBC1[0],WBC1[1],WBC1[2]
0.069242,0.094147,0.138795,0.922786,56.566160,69.736006,82.438123,62.571367,57.000000,69.000000,62.000000,71.000000,926.000000,0.081624,0.205486,0.080284,0.493622,28766.000000,192230.000000,81908.000000,15433.000000,94889.000000,20507.000000,2348.000000,5911.000000
0.069630,0.089288,0.139004,0.793869,58.081237,89.799319,107.145980,45.380790,54.000000,68.000000,55.000000,77.000000,935.000000,0.425533,0.016356,0.502741,0.052231,33565.000000,169441.000000,75406.000000,85185.000000,8850.000000,18733.000000,14283.000000,549.000000
0.071169,0.090661,0.139563,0.978168,42.130466,55.196258,82.901400,65.551682,48.000000,57.000000,52.000000,61.000000,763.000000,0.111078,0.568448,0.060377,0.821663,16538.000000,186512.000000,22001.000000,11261.000000,153250.000000,5300.000000,1837.000000,9401.000000
0.069970,0.091101,0.137971,1.030043,39.506489,57.797908,78.396926,43.533488,50.000000,60.000000,52.000000,67.000000,1318.000000,0.064907,0.020848,0.090491,0.074215,19474.000000,86384.000000,72156.000000,7817.000000,6411.000000,17804.000000,1264.000000,406.000000
0.070757,0.093230,0.119298,1.092439,38.704506,74.917466,72.312503,26.282799,51.000000,71.000000,54.000000,91.000000,1369.000000,0.181955,0.004941,0.256632,0.011738,4655.000000,21299.000000,15583.000000,5466.000000,250.000000,3785.000000,847.000000,23.000000
0.067824,0.092988,0.139799,0.780581,63.549557,76.118191,78.675485,57.889050,48.000000,64.000000,58.000000,65.000000,790.000000,0.091036,0.197990,0.088747,0.492245,16521.000000,108838.000000,45604.000000,9659.000000,53575.000000,11746.000000,1504.000000,3271.000000
0.069254,0.087057,0.141149,1.093663,55.261353,66.978312,77.399713,46.582384,51.000000,74.000000,73.000000,81.000000,1333.000000,0.063245,0.053728,0.075268,0.188639,13345.000000,63958.000000,47079.000000,4814.000000,12065.000000,11784.000000,844.000000,717.000000
0.072087,0.083521,0.140254,1.147526,42.056285,56.485191,72.405234,54.970135,51.000000,69.000000,62.000000,73.000000,960.000000,0.081268,0.428434,0.045054,0.738696,5205.000000,49896.000000,10790.000000,2248.000000,36858.000000,2552.000000,423.000000,2230.000000
0.069224,0.091196,0.136471,0.844652,49.414523,66.075416,72.951069,46.861828,47.000000,61.000000,51.000000,62.000000,1095.000000,0.032878,0.025412,0.046798,0.089453,23572.000000,102612.000000,88631.000000,4802.000000,9179.000000,22198.000000,775.000000,599.000000
0.071311,0.089944,0.139645,0.895957,44.688260,76.548349,86.318708,57.402791,47.000000,71.000000,50.000000,75.000000,714.000000,0.372704,0.479576,0.210532,0.731985,6316.000000,67567.000000,3884.000000,14225.000000,49458.000000,933.000000,2354.000000,3029.000000
0.069984,0.089959,0.140420,0.971175,47.575601,99.965266,68.394904,22.632502,48.000000,66.000000,57.000000,104.000000,1307.000000,0.019967,0.001020,0.029391,0.004117,23539.000000,96661.000000,93422.000000,2841.000000,398.000000,23045.000000,470.000000,24.000000
