"","alpha1","beta1","r","r1","t_cll_subclones","t_M1_subclones","t_M2_subclones","r_tp1","lifetime_r","r1_tp1","lifetime_r1","t_M1_subclones_PE","t_M2_subclones_PE"
"2956",0.35,0.42,0.963025858837582,1.29221009899667,34.588360847236,36.3900024591153,37.2900181438722,0.963025858837582,FALSE,1.29221009899667,FALSE,6.75766765070366e-06,4.86561334817859e-05
"2957",0.3,0.48,0.759351120927905,1.61185684616531,34.2616541053771,36.3899926236178,37.2899994380556,0.759351120927905,FALSE,1.61185684616531,FALSE,-2.02703551211473e-05,-1.5069572764047e-06
"2958",0.23,0.5,0.609872350975011,1.95244035755783,32.7464013248442,35.3318549930485,36.5504092853608,0.725997058006031,TRUE,1.95244035755783,FALSE,-2.90779062091648,-1.98334865819026
"2959",0.31,0.53,0.663009588239828,1.68552471263336,32.8769314902594,35.4320217397655,36.6176709375799,0.722982523319128,TRUE,1.68552471263336,FALSE,-2.6325316302131,-1.80297415505531
"2960",0.24,0.53,0.555646437474187,1.96989512834137,32.7625929284011,35.3470463176127,36.5572972535522,0.725637836198739,TRUE,1.96989512834137,FALSE,-2.86604474412558,-1.96487730342679
"2961",0.41,0.58,0.711999674089655,1.47504275127241,33.0533184012819,35.5553200937425,36.7060395373862,0.718679993484241,TRUE,1.47504275127241,FALSE,-2.29370680477472,-1.56599748622627
"2962",0.34,0.45,0.887051083898992,1.4010772193969,34.5087955774972,36.3900195229342,37.2900251295006,0.887051083898992,FALSE,1.4010772193969,FALSE,5.36491735040543e-05,6.73893820815302e-05
"2963",0.35,0.53,0.729364293463849,1.55067931596196,34.2468544893784,36.3899906630166,37.2899952151357,0.729364293463849,FALSE,1.55067931596196,FALSE,-2.56581021374073e-05,-1.28314946225324e-05
"2964",0.23,0.38,0.848884994993836,1.64751052900032,34.3844912391913,36.3899850239906,37.2899856820728,0.848884994993836,FALSE,1.64751052900032,FALSE,-4.11541890523507e-05,-3.8396157786254e-05
"2965",0.3,0.47,0.780515782006456,1.58846416927884,34.3076177718062,36.3899888190755,37.2899917054331,0.780515782006456,FALSE,1.58846416927884,FALSE,-3.072526668131e-05,-2.22434080284417e-05
"2966",0.35,0.52,0.752756970350327,1.5295146548834,34.2973095024638,36.3899866429005,37.2899882646384,0.752756970350327,FALSE,1.5295146548834,FALSE,-3.67054123311527e-05,-3.14705324581204e-05
"2967",0.44,0.52,0.918352058306437,1.27524624107357,34.571990576036,36.3900051082464,37.290019076601,0.918352058306437,FALSE,1.27524624107357,FALSE,1.40375004075902e-05,5.11574175363707e-05
"2968",0.29,0.44,0.825932606663202,1.55284592914982,34.3875806705862,36.3899804868747,37.2899802590886,0.825932606663202,FALSE,1.55284592914982,FALSE,-5.36222185313434e-05,-5.29388880540906e-05
"2969",0.34,0.59,0.560649841089921,1.70204939065846,32.9315173807562,35.4768607546066,36.6387980637783,0.721760985463375,TRUE,1.70204939065846,FALSE,-2.50931367241945,-1.74631787670085
"2970",0.35,0.48,0.841693312209819,1.44057831302392,34.4528103412651,36.3900288676557,37.289969566164,0.841693312209819,FALSE,1.44057831302392,FALSE,7.9328539965463e-05,-8.1613933941816e-05
