"","alpha1","alpha2","alpha3","beta1","beta2","beta3","ccf_last1","ccf_last2","ccf_last3","r","r1","r2","r3","t_cll_subclones","t_M1_subclones","t_M2_subclones","t_M3_subclones","r_tp1","lifetime_r","r1_tp1","lifetime_r1","r2_tp1","lifetime_r2","r3_tp1","lifetime_r3","t_M1_subclones_PE","t_M2_subclones_PE","t_M3_subclones_PE"
"5110",0.63,0.14,0.08,0.4,0.18,0.04,0.01,0.73,0.21,0.274405017562739,-0.363763629042917,0.691667948512009,0.197132869198398,51.6485469148327,52.4969157540804,52.2877128758936,56.4545636396519,0.433462786708104,TRUE,0.451904230896654,TRUE,0.691667948512009,FALSE,0.414135321952443,TRUE,-3.92218932269324,-5.78790472811963,-6.48573192040437
"5111",0.64,0.13,0.02,0.42,0.19,0.05,0.01,0.77,0.27,0.336617917860509,-0.428915134253339,0.521120653949424,0.754286458981914,51.7523375716565,52.5909126784575,52.3840994929427,56.5073609922488,0.433462786708104,TRUE,0.452192451192557,TRUE,0.521120653949424,FALSE,0.754286458981914,FALSE,-3.75015981248624,-5.61423514785108,-6.39827564643227
"5112",0.56,0.16,0.08,0.39,0.19,0.13,0.01,0.7,0.23,0.302964315008285,-0.387350325070228,0.592509818966661,0.498556966886712,51.8187142865165,52.660135138123,52.4525944693383,56.5958161436633,0.437062901902944,TRUE,0.449748611649648,TRUE,0.592509818966661,FALSE,0.498556966886712,FALSE,-3.62347156273246,-5.49082077596697,-6.25175394456966
"5113",0.6,0.12,0.1,0.4,0.18,0.03,0.01,0.71,0.24,0.296311708766895,-0.447904218876247,0.813035515863231,0.0708115934519321,51.5627777089575,52.4127498132363,52.2031848843534,56.365032858227,0.437062901902944,TRUE,0.451011292313758,TRUE,0.813035515863231,FALSE,0.418219208323493,TRUE,-4.07622654971399,-5.94020741557943,-6.63403535161994
"5114",0.62,0.1,0.05,0.48,0.17,0.08,0.01,0.78,0.26,0.265373038227805,-0.410916577116664,0.705599350091084,0.570065596944834,51.7361864870942,52.5755063729276,52.3685443580622,56.4889773925077,0.437062901902944,TRUE,0.451611398880797,TRUE,0.705599350091084,FALSE,0.570065596944834,FALSE,-3.77835583285585,-5.64226241790589,-6.42872719478592
"5115",0.57,0.15,0.06,0.45,0.19,0.08,0.01,0.73,0.28,0.296855100541702,-0.394657369646512,0.522742011213501,0.622039953612684,51.8043864028469,52.6454840537993,52.4380249258985,56.5793452518542,0.437062901902944,TRUE,0.450072542416475,TRUE,0.522742011213501,FALSE,0.622039953612684,FALSE,-3.65028540666315,-5.51707220558829,-6.27903718427328
"5116",0.68,0.1,0.07,0.46,0.18,0.07,0.02,0.75,0.28,0.323895398377088,-0.326659815682932,0.727425313670535,0.583927259491857,51.7628479160792,52.6029128481771,52.3957309182041,56.5261262726016,0.432649247861639,TRUE,0.453301979410281,TRUE,0.727425313670535,FALSE,0.583927259491857,FALSE,-3.72819756922207,-5.5932776248574,-6.36719186251177
"5117",0.66,0.16,0.04,0.53,0.23,0.07,0.02,0.75,0.25,0.357591423376225,-0.29651752984308,0.543250632289356,0.639912419904442,51.8463792106935,52.6833733552226,52.4769477411715,56.5945074939753,0.428976650946153,TRUE,0.452755622105199,TRUE,0.543250632289356,FALSE,0.639912419904442,FALSE,-3.58094188282836,-5.44694100689826,-6.25392165980575
"5118",0.59,0.12,0.05,0.43,0.16,0.11,0.01,0.74,0.31,0.285309191659917,-0.389563493396651,0.721090895466879,0.592956567343791,51.7876512654198,52.6287057630418,52.4213025744194,56.5518141922797,0.437705129571525,TRUE,0.450703694980003,TRUE,0.721090895466879,FALSE,0.592956567343791,FALSE,-3.68099238096304,-5.5472025686136,-6.3246410596659
"5119",0.59,0.11,0.05,0.43,0.19,0.11,0.02,0.77,0.22,0.255689077338316,-0.302708609610324,0.565424219138044,0.591196208863408,51.7386419935579,52.5793437889075,52.3719837875483,56.5121821131977,0.438325582567053,TRUE,0.450703694980003,TRUE,0.565424219138044,FALSE,0.591196208863408,FALSE,-3.77133274358071,-5.63606524766069,-6.39028969157245
