"","alpha1","beta1","ccf_last1","r","r1","u","t_cll_subclones","t_M1_subclones","t_M2_subclones","t_M3_subclones","r_tp1","lifetime_r","r1_tp1","lifetime_r1","t_M1_subclones_PE","t_M2_subclones_PE","t_M3_subclones_PE"
"8411",0.62,0.75,0.77,0.671921791095359,0.859335814495219,0,62.2322468220775,63.354223911353,64.0540849957562,65.4983974606825,0.671921791095359,FALSE,0.859335814495219,FALSE,0.4028905092758,-0.10279944517125,0.15045483284789
"8412",0.63,0.73,0.78,0.658378652791438,0.760403079605942,0,61.7010706757312,62.9367642578155,63.7116675027576,65.3198158950428,0.658378652791438,FALSE,0.760403079605942,FALSE,-0.258693727709221,-0.636825479167741,-0.122605665072124
"8413",0.64,0.76,0.86,0.276219568439834,1.01184732911452,0,60.5594728383476,62.3243169063245,63.2584766063561,64.8837382647027,0.390599399020416,TRUE,1.01184732911452,FALSE,-1.22929174908947,-1.34361103188387,-0.789391032564666
"8414",0.67,0.74,0.83,0.508862096185838,0.74833534488467,0,61.8423648268163,63.1978495922481,64.0328039485244,65.7351579805537,0.508862096185838,FALSE,0.74833534488467,FALSE,0.155070669172883,-0.135988851334441,0.512473976381852
"8415",0.66,0.74,0.78,0.610605833573698,0.908930284622524,0,62.2177963891563,63.3316150643689,64.0173424120004,65.4150776074694,0.610605833573698,FALSE,0.908930284622524,FALSE,0.367060323880931,-0.160102289456669,0.0230544456718123
"8416",0.63,0.76,0.83,0.457055523453945,0.807027596637614,0,61.8087051230905,63.1525452550994,63.9611414739264,65.5775354768006,0.457055523453945,FALSE,0.807027596637614,FALSE,0.083272987479312,-0.247751912154667,0.271460973701266
"8417",0.66,0.8,0.8,0.184520639435014,0.860659464086543,0,60.5350409608181,62.314344409025,63.3086765026369,65.1336747315594,0.38969356044926,TRUE,0.860659464086543,FALSE,-1.24509602373211,-1.26532048871354,-0.407225181101872
"8418",0.64,0.7,0.78,0.534800353799191,0.925103901242102,0,62.0050313603638,63.1925689634589,63.9069177671695,65.3328251793998,0.534800353799191,FALSE,0.925103901242102,FALSE,0.146702002312025,-0.332317892748832,-0.102713792966646
"8419",0.64,0.64,0.77,0.556729797397645,0.851584903752516,0,61.8038420199402,63.0138843429895,63.7558339877861,65.2622678296403,0.556729797397645,FALSE,0.851584903752516,FALSE,-0.136474892251192,-0.567944498150154,-0.210599648868126
"8420",0.63,0.74,0.81,0.306604000410027,0.888060318480059,0,60.4319984038966,62.2550189364453,63.2667881741937,65.0978294584834,0.391033614142256,TRUE,0.888060318480059,FALSE,-1.33911420531656,-1.33064851186263,-0.462034467150703
"8421",0.71,0.66,0.77,0.646331858653117,0.967972134623587,0,62.1622880122389,63.2061171385978,63.8486788245269,65.1584774380589,0.646331858653117,FALSE,0.967972134623587,FALSE,0.168172961327704,-0.423145938042907,-0.369300553426796
"8422",0.67,0.75,0.76,0.666196421269682,0.801514106346126,0,61.9581950716393,63.1428116585455,63.8843169175077,65.4199922901168,0.666196421269682,FALSE,0.801514106346126,FALSE,0.0678473194065699,-0.367565630836424,0.0305692509431684
"8423",0.64,0.75,0.83,0.351854946232454,0.880887817091311,0,60.4979294172819,62.3279102779694,63.3459990682841,65.1920091501839,0.390599399020416,TRUE,0.880887817091311,FALSE,-1.22359702382026,-1.20711311870845,-0.318028822348753
"8424",0.68,0.71,0.78,0.484911248753832,0.873598155016168,0,62.0854686934981,63.3260956218424,64.0714280289037,65.5603434307519,0.484911248753832,FALSE,0.873598155016168,FALSE,0.358313188339841,-0.0757516704558546,0.245173441516635
"8425",0.62,0.79,0.8,0.142503554137293,0.776009720469351,0,60.2278740987291,62.0741137698623,63.1392870975657,65.1486386307753,0.391456248802829,TRUE,0.776009720469351,FALSE,-1.62581019039259,-1.52949610485703,-0.384344601260982
"8426",0.66,0.75,0.75,0.460288211860569,0.701198636079026,0,61.453648840239,62.9254309759796,63.827970155613,65.6603733867683,0.460288211860569,FALSE,0.701198636079026,FALSE,-0.276654554707381,-0.455442676835569,0.39812444459988
"8427",0.64,0.73,0.79,0.585887662062931,0.741821564572443,0,61.7705128817941,63.0541241139593,63.8559279472067,65.5132147028207,0.585887662062931,FALSE,0.741821564572443,FALSE,-0.0727034644067991,-0.411840381773765,0.173111166392462
"8428",0.71,0.71,0.83,0.521862242052193,0.814823653737194,0,61.9335725645082,63.184824223072,63.9521310346938,65.5113516866756,0.521862242052193,FALSE,0.814823653737194,FALSE,0.134428245756007,-0.261804375087634,0.170262517852606
"8429",0.61,0.74,0.75,0.575106342991799,0.902975837484848,0,62.1563856061109,63.3089437263075,64.0134105709812,65.4397134642252,0.575106342991799,FALSE,0.902975837484848,FALSE,0.331131103498431,-0.166234293541458,0.0607239514146157
"8430",0.63,0.77,0.77,0.729544485781779,0.78544605342121,0,62.0444518770648,63.2055527435375,63.9355689541818,65.4548504231691,0.729544485781779,FALSE,0.78544605342121,FALSE,0.167278515907224,-0.287634194975305,0.0838691485766052
"8431",0.65,0.72,0.78,0.687615229619687,0.818623348859679,0,61.9482273335623,63.1098670955606,63.8372282869835,65.3440728231977,0.687615229619687,FALSE,0.818623348859679,FALSE,0.0156372354367124,-0.441003919239642,-0.0855155608597852
"8432",0.66,0.73,0.83,0.336235507740221,0.749764257107018,0,60.4319837066383,62.2777641916314,63.3502149115724,65.3922000852071,0.38969356044926,TRUE,0.749764257107018,FALSE,-1.3030678421055,-1.20053819155895,-0.0119264752184547
"8433",0.66,0.76,0.86,0.421558005672668,0.807906779770404,0,61.7695296933814,63.1391726405111,63.9544734849706,65.5722804935007,0.421558005672668,FALSE,0.807906779770404,FALSE,0.0620802543757146,-0.258151146334059,0.263425831040816
"8434",0.69,0.76,0.79,0.573856231460858,0.752584990134866,0,61.811401383985,63.0942965106072,63.8935671515133,65.5412019920403,0.573856231460858,FALSE,0.752584990134866,FALSE,-0.00903881044823462,-0.353139189779658,0.215905186605932
"8435",0.66,0.8,0.79,0.508302542777034,0.839067586784763,0,61.9389405320155,63.198920349564,63.9643732092198,65.506467120241,0.508302542777034,FALSE,0.839067586784763,FALSE,0.156767590434215,-0.242711776013998,0.162793761836424
"8436",0.64,0.73,0.81,0.592887751198679,0.907937182906687,0,62.2676852661999,63.4004775800247,64.0951802667662,65.5060311092464,0.592887751198679,FALSE,0.907937182906687,FALSE,0.476192678327594,-0.0387082551993772,0.162127078358413
"8437",0.66,0.74,0.78,0.644002991976931,0.629209952901884,0,61.4364624978202,62.8472348833968,63.7348431705546,65.5835593962845,0.644002991976931,FALSE,0.629209952901884,FALSE,-0.400578631700725,-0.600681268629723,0.28067185976218
"8438",0.65,0.73,0.76,0.804896146899548,0.835386936553132,0,62.0963127936835,63.1788245000729,63.8598074872001,65.2779566722205,0.804896146899548,FALSE,0.835386936553132,FALSE,0.124919968419784,-0.405789945102771,-0.186610592935006
"8439",0.69,0.76,0.85,0.410329292440929,0.942294925578072,0,62.0034793409802,63.2570876502451,63.9801181497865,65.3853776726248,0.410329292440929,FALSE,0.942294925578072,FALSE,0.248950317345703,-0.218156347806499,-0.0223582987388487
"8440",0.66,0.73,0.85,0.457162729514705,1.10252678668161,0,62.4212652180494,63.5316606527512,64.1629271629595,65.3774640148672,0.457162729514705,FALSE,1.10252678668161,FALSE,0.684089782490013,0.0669481643161715,-0.0344586928635946
"8441",0.62,0.78,0.76,0.810412073023631,0.878272568602015,0,62.1678550486276,63.2130996480164,63.8701003657141,65.237029715218,0.810412073023631,FALSE,0.878272568602015,FALSE,0.179238744875438,-0.389737420907489,-0.249190037892931
"8442",0.69,0.76,0.81,0.517534923558789,0.795713681985585,0,61.9596302302797,63.2040951448959,63.971379386693,65.5391023547851,0.517534923558789,FALSE,0.795713681985585,FALSE,0.16496853390788,-0.231785111208631,0.212694732087236
"8443",0.63,0.76,0.74,1.0222024651284,0.852717060289539,0,62.3054082119057,63.2978368437211,63.918978695495,65.2042616907,1.0222024651284,FALSE,0.852717060289539,FALSE,0.313529070873385,-0.313507960862476,-0.299294050917384
"8444",0.62,0.68,0.81,0.518225554060344,0.830062940740391,0,61.9649783349715,63.2502158508695,64.0319657135396,65.6068233416154,0.518225554060344,FALSE,0.830062940740391,FALSE,0.238059985530168,-0.137296142327487,0.316243641613768
"8445",0.68,0.74,0.86,0.43396639673016,0.92093032940116,0,62.0533103849225,63.267887904195,63.9831824820638,65.3947069397562,0.43396639673016,FALSE,0.92093032940116,FALSE,0.266066409183889,-0.213377289357835,-0.00809336428713584
"8446",0.64,0.82,0.8,0.673732019635734,0.815374392069942,0,62.1202195222573,63.269900510615,63.989970557991,65.4824121213935,0.673732019635734,FALSE,0.815374392069942,FALSE,0.269255959770275,-0.202790770444552,0.126012418032814
"8447",0.65,0.76,0.78,0.502555133096277,0.762781961520899,0,61.8187978081671,63.1641891615543,63.9899975227892,65.6683453844233,0.502555133096277,FALSE,0.762781961520899,FALSE,0.101726088041674,-0.202748716797926,0.410314043460723
"8448",0.66,0.76,0.81,0.562920955187829,0.80159219472124,0,62.0401741213526,63.2813206043003,64.0490573457551,65.6208029843837,0.562920955187829,FALSE,0.80159219472124,FALSE,0.287354364976664,-0.110640446420688,0.337619242176839
"8449",0.64,0.75,0.79,0.536210452217757,0.827766785532077,0,61.9965650154449,63.224039612684,63.9776750802319,65.5106704936328,0.536210452217757,FALSE,0.827766785532077,FALSE,0.196576248310609,-0.221966499950283,0.169220938276403
"8450",0.66,0.72,0.74,0.58979866939296,0.949125215790019,0,62.2809836128564,63.3745503776237,64.0420325155975,65.3925816210016,0.58979866939296,FALSE,0.949125215790019,FALSE,0.435103609546249,-0.121596201501124,-0.0113430871534654
"8451",0.69,0.77,0.78,0.49617118524789,0.912482277302122,0,62.133325901766,63.3120854726016,64.0201720557927,65.4358244374494,0.49617118524789,FALSE,0.912482277302122,FALSE,0.336110099210155,-0.155689245488624,0.0547774272925833
"8452",0.68,0.79,0.77,0.630977582595175,0.843261056211546,0,62.0020518344106,63.1486060822086,63.8622543312458,65.3321934039166,0.630977582595175,FALSE,0.843261056211546,FALSE,0.0770302412181346,-0.401973906354096,-0.103679810525142
"8453",0.65,0.7,0.82,0.451999183344334,1.06047823644985,0,62.210085318437,63.3619028795174,64.0190044820055,65.284838165478,0.451999183344334,FALSE,1.06047823644985,FALSE,0.415060030930949,-0.157510165306398,-0.176088431990758
"8454",0.72,0.73,0.8,0.60103955319245,0.733645830828078,0,61.7868833778476,63.0708010796172,63.8744645962781,65.5390600654809,0.60103955319245,FALSE,0.733645830828078,FALSE,-0.0462740418110545,-0.382931072554411,0.212630069542625
"8455",0.67,0.73,0.83,0.464203918591637,0.905876743153676,0,61.9844179987308,63.2133278200503,63.9428034052341,65.3874929912377,0.464203918591637,FALSE,0.905876743153676,FALSE,0.179600348732705,-0.276351520221297,-0.019123866608976
"8456",0.62,0.81,0.81,0.797012827127882,0.830412155437467,0,62.2606096253968,63.3460886572307,64.028950228259,65.4510279334476,0.797012827127882,FALSE,0.830412155437467,FALSE,0.389997871997907,-0.141999020182401,0.0780243630697676
"8457",0.62,0.8,0.83,0.066117558998516,0.884745748275243,0,60.3814468081498,62.2182247891335,63.2400796689403,65.0897901956806,0.391456248802829,TRUE,0.884745748275243,FALSE,-1.39742505684081,-1.37230245018673,-0.474326917919592
"8458",0.69,0.76,0.79,0.768882205810688,0.657092373458891,0,61.5963798240371,62.9159804341263,63.7438134642584,65.4615461340598,0.768882205810688,FALSE,0.657092373458891,FALSE,-0.291631641638189,-0.58669141569181,0.0941072386235196
"8459",0.71,0.72,0.79,0.58458865516109,0.877402324218035,0,62.1021776582244,63.2649436705402,63.9797382873152,65.434512799752,0.58458865516109,FALSE,0.877402324218035,FALSE,0.261400428748353,-0.218748772122322,0.0527718650641456
"8460",0.66,0.69,0.86,0.451224280678105,0.895319648564211,0,61.8853561648903,63.1065921393109,63.8334715436004,65.2780634453691,0.451224280678105,FALSE,0.895319648564211,FALSE,0.0104471304451159,-0.446862845289482,-0.186447331239853
"8461",0.6,0.67,0.84,0.355189184890539,0.947559330271166,0,60.3360101975368,62.1867550429583,63.1966982225208,64.9795932732634,0.39226913777886,TRUE,0.947559330271166,FALSE,-1.44729787169837,-1.43995910399129,-0.642823741187464
"8462",0.6,0.74,0.83,0.134882719006509,1.06877062428675,0,60.4210548291813,62.2793225682031,63.2527803764172,64.8926486802551,0.39226913777886,TRUE,1.06877062428675,FALSE,-1.30059814864797,-1.35249473422143,-0.77576654395251
"8463",0.59,0.74,0.76,0.52412886060683,0.777685686663647,0,61.7906998171061,63.1003457722598,63.9062115708171,65.5475965654348,0.52412886060683,FALSE,0.777685686663647,FALSE,0.000547975055092023,-0.333419259486774,0.225682821765678
"8464",0.67,0.76,0.75,0.526702143482272,0.917700376341374,0,62.0061906835898,63.1916049362905,63.9053081215864,65.3320398813172,0.526702143482272,FALSE,0.917700376341374,FALSE,0.145174225500002,-0.334828257039373,-0.103914554560886
"8465",0.67,0.72,0.82,0.497328948082868,0.883370822894517,0,62.1335062030549,63.346945780829,64.0782713702156,65.5432609048637,0.497328948082868,FALSE,0.883370822894517,FALSE,0.391356229523005,-0.0650789609862338,0.219053371351194
"8466",0.64,0.78,0.86,0.419825319745634,0.928116565206441,0,61.8739771598953,63.1244552756276,63.851527328267,65.2721610195401,0.419825319745634,FALSE,0.928116565206441,FALSE,0.0387563797585046,-0.418703480556836,-0.195472447186346
"8467",0.68,0.72,0.77,0.54250481377586,0.995241307521693,0,62.2264887581309,63.3409935232417,64.006669887209,65.3292156701154,0.54250481377586,FALSE,0.995241307521693,FALSE,0.381923174709574,-0.176746900796995,-0.108232920312783
"8468",0.63,0.69,0.8,0.506527524266299,0.58329305790125,0,61.3855330838548,62.9846133282782,63.9878368300495,66.0706533493837,0.506527524266299,FALSE,0.58329305790125,FALSE,-0.182863188148598,-0.206118480895957,1.02546383697807
"8469",0.67,0.75,0.75,0.730269230919624,0.871280653216943,0,62.0531583810747,63.1437430812262,63.8265850513689,65.2411522507609,0.730269230919624,FALSE,0.871280653216943,FALSE,0.0693234250811018,-0.457602851888784,-0.242886466726475
"8470",0.64,0.75,0.85,0.407750029222405,0.91288364047956,0,62.0276704365244,63.2958006977646,64.0327983625662,65.4732093469522,0.407750029222405,FALSE,0.91288364047956,FALSE,0.310302215157884,-0.135997563059587,0.111940897480424
"8471",0.69,0.71,0.78,0.544924391586125,0.853831499037622,0,62.1299545240454,63.349750042184,64.0953525461149,65.6049140551249,0.544924391586125,FALSE,0.853831499037622,FALSE,0.395800383809799,-0.0384395724970729,0.313324243310292
"8472",0.64,0.73,0.8,0.372957293140707,0.876027260723499,0,60.5187694349698,62.3699134689651,63.4027778781169,65.2757962989448,0.390599399020416,TRUE,0.876027260723499,FALSE,-1.15703095251176,-1.1185622612026,-0.189913915986622
"8473",0.64,0.74,0.77,0.499610549831658,0.755644979363641,0,61.6454387230421,62.9990626448671,63.8304605865039,65.5212992791022,0.499610549831658,FALSE,0.755644979363641,FALSE,-0.159964112730359,-0.451558661098043,0.185472903825999
"8474",0.62,0.76,0.81,0.53381587317244,1.00946049087157,0,62.1939453622461,63.3085310011552,63.9706090144074,65.2804120236264,0.53381587317244,FALSE,1.00946049087157,FALSE,0.330477022433033,-0.232986565178666,-0.182856232987213
"8475",0.66,0.69,0.82,0.477607282939794,0.96284593891082,0,61.888084266796,63.0430702004473,63.7269675314326,65.0803343415332,0.477607282939794,FALSE,0.96284593891082,FALSE,-0.0902215523814774,-0.612963924777546,-0.488785410499699
"8476",0.61,0.68,0.83,0.402132916114552,0.868371678762912,0,61.795860957184,63.1887375471867,63.992615434648,65.5490476392725,0.402132916114552,FALSE,0.868371678762912,FALSE,0.14063002723727,-0.198665884828384,0.227901589101675
"8477",0.63,0.75,0.8,0.430199941527326,0.782994229710295,0,61.6721701301991,63.0676632303421,63.9040520745986,65.5714026799368,0.430199941527326,FALSE,0.782994229710295,FALSE,-0.0512468615814059,-0.336787157519341,0.262083608466018
