"","alpha1","beta1","ccf_last1","gamma1_obs","gamma2_obs","gamma3_obs","gamma1","gamma2","gamma3","m","r","r1","u","MRCA","t1","t","t1_in_years","r_tp1","r_tp2","r_tp3","r1_tp1","r1_tp2","r1_tp3","t_BD"
"5482",0.65,0.73,0.82,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.416456713029909,0.699672604107828,0.398882137217775,3.07217144996181,23.7385072597447,36.1893212902934,26.8106787097066,0.416456713029909,0.416456713029909,0.416456713029909,0.699672604107828,0.699672604107828,0.699672604107828,35.9707140188932
"5483",0.64,0.77,0.77,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.379592651929623,0.788619622542257,0.41627144035104,4.53551755465434,26.6148799416338,31.8496025037118,31.1503974962882,0.390599399020416,0.386165811920933,0.396512721430303,0.788619622542257,0.788619622542257,0.788619622542257,31.8827018021484
"5484",0.66,0.68,0.79,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.534513734954968,0.690405651922185,0.427427284541664,9.86288732979281,16.5366767115965,36.6004359586107,26.3995640413893,0.534513734954968,0.534513734954968,0.534513734954968,0.690405651922185,0.690405651922185,0.690405651922185,36.476986024739
"5485",0.64,0.73,0.75,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.569891809293864,0.79614404951422,0.479051118241416,17.9435648036922,13.5054423239424,31.5509928723653,31.4490071276347,0.569891809293864,0.569891809293864,0.569891809293864,0.79614404951422,0.79614404951422,0.79614404951422,31.5804304930515
"5486",0.64,0.72,0.81,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.424865182652295,0.841600807030276,0.446743866475665,17.1656136019969,16.0184661669311,29.8159202310719,33.1840797689281,0.424865182652295,0.424865182652295,0.424865182652295,0.841600807030276,0.841600807030276,0.841600807030276,29.8692989982891
"5487",0.64,0.72,0.74,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.629212396201502,0.771568815148729,0.485034427886102,12.9827460286888,17.3536091256092,32.663644845702,30.336355154298,0.629212396201502,0.629212396201502,0.629212396201502,0.771568815148729,0.771568815148729,0.771568815148729,32.5894837218504
"5488",0.65,0.72,0.79,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.370290696175002,0.747004762049301,0.401116666233922,9.38879223570137,19.9345453799982,33.6766623843005,29.3233376156995,0.390152950890991,0.389233658057022,0.395121715647341,0.747004762049301,0.747004762049301,0.747004762049301,33.6851800842497
"5489",0.62,0.68,0.76,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.647753518006553,0.860231400725864,0.523955135952128,15.452676951328,18.3496444880175,29.1976785606545,33.8023214393455,0.647753518006553,0.647753518006553,0.647753518006553,0.860231400725864,0.860231400725864,0.860231400725864,29.1833271414197
"5490",0.62,0.75,0.76,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.801738843420661,0.862771814780094,0.566471680796923,9.78650263546694,24.1876697655763,29.0258275989568,33.9741724010432,0.801738843420661,0.801738843420661,0.801738843420661,0.862771814780094,0.862771814780094,0.862771814780094,29.0971029804651
"5491",0.64,0.72,0.82,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.457122197002468,0.8671357250845,0.46992816769077,6.18155474274183,27.8715674661067,28.9468777911515,34.0531222088485,0.457122197002468,0.457122197002468,0.457122197002468,0.8671357250845,0.8671357250845,0.8671357250845,28.9867801815384
