"","alpha1","beta1","gamma1_obs","gamma2_obs","gamma1","gamma2","m","r","r1","u","MRCA","t1","t","t1_in_years","r_tp1","r_tp2","r1_tp1","r1_tp2","t_BD"
"2638",0.22,0.55,1,4,5.25656619421988,31.5287765607893,0,0.478467994870858,2.10773140464133,0.210852716067367,6.44697012633373,18.0030502743081,10.5499795993582,24.4500204006418,0.726351644563764,0.720368933790806,2.10773140464133,2.10773140464133,10.5499795993582
"2639",0.39,0.6,1,4,5.25656619421988,31.5287765607893,0,0.620747913604067,1.56827827599499,0.201710403666826,7.99482694735364,11.9830416349708,15.0221314176756,19.9778685823244,0.719596080878239,0.717210364853923,1.56827827599499,1.56827827599499,15.0221314176756
"2640",0.27,0.44,1,4,5.25656619421988,31.5287765607893,0,0.795066424322005,1.63224477801885,0.195918311374084,7.11228152941192,13.7340544768919,14.1536639936961,20.8463360063039,0.795066424322005,0.795066424322005,1.63224477801885,1.63224477801885,14.1536639936961
"2641",0.32,0.45,1,4,5.25656619421988,31.5287765607893,0,0.853881124843782,1.46843791030404,0.201847243545994,7.58337035996266,11.4133416824299,16.0032879576075,18.9967120423925,0.853881124843782,0.853881124843782,1.46843791030404,1.46843791030404,16.0032879576075
"2642",0.3,0.35,1,4,5.25656619421988,31.5287765607893,0,1.00728840016591,1.26090912458923,0.209466181766099,0.134723822626366,16.0504696581508,18.8148065192228,16.1851934807772,1.00728840016591,1.00728840016591,1.26090912458923,1.26090912458923,18.8148065192228
"2643",0.47,0.59,1,4,5.25656619421988,31.5287765607893,0,0.804386317172471,1.34228597166522,0.202230312687962,3.76021561068729,13.3154388117208,17.9243455775919,17.0756544224081,0.804386317172471,0.804386317172471,1.34228597166522,1.34228597166522,17.9243455775919
"2644",0.29,0.48,1,4,5.25656619421988,31.5287765607893,0,0.743590415381277,1.64952523691607,0.192035453753861,7.26445419504474,13.7013966136769,14.0341491912784,20.9658508087216,0.743590415381277,0.743590415381277,1.64952523691607,1.64952523691607,14.0341491912784
"2645",0.26,0.52,1,4,5.25656619421988,31.5287765607893,0,0.608670500007514,1.85979412540332,0.199560932304367,13.5890485716664,9.17937702341741,12.2315744049162,22.7684255950838,0.724904990716954,0.722099653048987,1.85979412540332,1.85979412540332,12.2315744049162
"2646",0.3,0.51,1,4,5.25656619421988,31.5287765607893,0,0.693325098182552,1.67921753707246,0.193156527479072,6.95621007207112,14.2621850952022,13.7816048327267,21.2183951672733,0.723377926931442,0.722652597194944,1.67921753707246,1.67921753707246,13.7816048327267
"2647",0.4,0.48,1,4,5.25656619421988,31.5287765607893,0,0.930629654069292,1.29221009899666,0.207381151005242,8.86098915317183,7.59099380679392,18.5480170400343,16.4519829599657,0.930629654069292,0.930629654069292,1.29221009899666,1.29221009899666,18.5480170400342
"2648",0.38,0.6,1,4,5.25656619421988,31.5287765607893,0,0.602680668190988,1.59713992755416,0.202957710024423,3.67481394781676,16.6158992989628,14.7092867532204,20.2907132467796,0.720042921242948,0.717210364853923,1.59713992755416,1.59713992755416,14.7092867532204
"2649",0.36,0.39,1,4,5.25656619421988,31.5287765607893,0,1.03628701457409,1.17856693330731,0.210431450114118,2.65089406839717,11.9679652926592,20.3811406389436,14.6188593610564,1.03628701457409,1.03628701457409,1.17856693330731,1.17856693330731,20.3811406389436
"2650",0.32,0.61,1,4,5.25656619421988,31.5287765607893,0,0.471912748062867,1.80645054852959,0.212889943262686,10.9544019628673,11.2968420979926,12.7487559391401,22.2512440608599,0.722581347187741,0.716531421223344,1.80645054852959,1.80645054852959,12.7487559391401
"2651",0.31,0.64,1,4,5.25656619421988,31.5287765607893,0,0.366755517957664,1.89507045686396,0.221908772293511,6.73699941780444,16.192174030298,12.0708265518975,22.9291734481025,0.722982523319128,0.714384928660363,1.89507045686396,1.89507045686396,12.0708265518975
"2652",0.21,0.64,1,4,5.25656619421988,31.5287765607893,0,0.216376242546811,2.32780908659921,0.236553662773622,2.57951760848147,23.0193268361428,9.40115555537577,25.5988444446242,0.726701713972323,0.714384928660363,2.32780908659921,2.32780908659921,9.40115555537577
"2653",0.37,0.57,1,4,5.25656619421988,31.5287765607893,0,0.665258801783413,1.56977876388153,0.197590501317602,10.7282330362488,9.29885900332189,14.9729079604293,20.0270920395707,0.720482611854282,0.719149776534792,1.56977876388153,1.56977876388153,14.9729079604294
"2654",0.27,0.45,1,4,5.25656619421988,31.5287765607893,0,0.775045862652356,1.65721461785448,0.194166311367193,13.3861816225842,7.69435627658246,13.9194621008333,21.0805378991667,0.775045862652356,0.775045862652356,1.65721461785448,1.65721461785448,13.9194621008333
"2655",0.38,0.41,1,4,5.25656619421988,31.5287765607893,0,1.03452287907075,1.17405937697884,0.21043837770621,3.84419659684982,10.6450254843384,20.5107779188118,14.4892220811882,1.03452287907075,1.03452287907075,1.17405937697884,1.17405937697884,20.5107779188118
"2656",0.41,0.56,1,4,5.25656619421988,31.5287765607893,0,0.763688580350642,1.43605239592653,0.19790983091217,2.41433777189894,16.0175433886758,16.5681188394253,18.4318811605747,0.763688580350642,0.763688580350642,1.43605239592653,1.43605239592653,16.5681188394253
"2657",0.39,0.56,1,4,5.25656619421988,31.5287765607893,0,0.726648113386654,1.49161952989838,0.194293086058916,9.579913719548,9.55448681342912,15.8655994670229,19.1344005329771,0.726648113386654,0.726648113386654,1.49161952989838,1.49161952989838,15.8655994670229
"2658",0.43,0.62,1,4,5.25656619421988,31.5287765607893,0,0.639113804660964,1.49622422406063,0.2011369407824,5.75129485161385,13.370953952271,15.8777511961151,19.1222488038849,0.717732310712293,0.71583484073519,1.49622422406063,1.49622422406063,15.8777511961151
"2659",0.27,0.55,1,4,5.25656619421988,31.5287765607893,0,0.552078423249965,1.88018205725687,0.204953714225346,16.4895230707624,6.40653665517408,12.1039402740635,22.8960597259365,0.724531106351585,0.720368933790806,1.88018205725687,1.88018205725687,12.1039402740635
"2660",0.31,0.42,1,4,5.25656619421988,31.5287765607893,0,0.896671153613559,1.42705549566807,0.204355166250593,8.6412246444532,9.87335649418787,16.4854188613589,18.5145811386411,0.896671153613559,0.896671153613559,1.42705549566807,1.42705549566807,16.4854188613589
"2661",0.22,0.45,1,4,5.25656619421988,31.5287765607893,0,0.701435434273243,1.88476396523894,0.189745626614723,16.6933623554404,6.34415933083419,11.9624783137254,23.0375216862746,0.726351644563764,0.725750287919585,1.88476396523894,1.88476396523894,11.9624783137254
"2662",0.32,0.4,1,4,5.25656619421988,31.5287765607893,0,0.950560432610038,1.33756787068583,0.207363529922354,4.27322482020362,13.0216967306635,17.7050784491328,17.2949215508672,0.950560432610038,0.950560432610038,1.33756787068583,1.33756787068583,17.7050784491328
"2663",0.42,0.43,1,4,5.25656619421988,31.5287765607893,0,1.07030643287908,1.11577558857026,0.210902252769063,6.6520503631931,6.60346148193925,21.7444881548677,13.2555118451323,1.07030643287908,1.07030643287908,1.11577558857026,1.11577558857026,21.7444881548677
"2664",0.36,0.41,1,4,5.25656619421988,31.5287765607893,0,0.999246547610099,1.23413406727915,0.209529061349126,1.93673077062353,13.6623785654384,19.400890663938,15.599109336062,0.999246547610099,0.999246547610099,1.23413406727915,1.23413406727915,19.400890663938
"2665",0.31,0.46,1,4,5.25656619421988,31.5287765607893,0,0.817272304744512,1.52813524922998,0.198960548739263,0.527793152700593,19.1691721592213,15.3030346880781,19.6969653119219,0.817272304744512,0.817272304744512,1.52813524922998,1.52813524922998,15.3030346880781
"2666",0.38,0.72,1,4,5.25656619421988,31.5287765607893,0,0.206375174925729,1.799719435103,0.234339489524297,3.54773818177132,18.5551384048836,12.897123413345,22.102876586655,0.720042921242948,0.707645469602146,1.799719435103,1.799719435103,12.897123413345
