r_hat,r1_hat,r2_hat,u_hat,t1_hat,t2_hat,tau1_hat,tau2_hat,m1,m2,m1_obs,m2_obs,gamma,alpha1,alpha2,beta1,beta2,M1,M2,cells[0],cells[1],cells[2],WBC1[0],WBC1[1],WBC1[2]
0.025580,0.039466,0.049036,1.125079,107.985935,153.816546,188.007402,141.848090,139.000000,158.000000,150.000000,196.000000,4079.000000,0.025622,0.016104,0.033232,0.025292,65139.000000,110587.000000,104115.000000,3675.000000,2797.000000,62421.000000,1669.000000,1049.000000
0.023684,0.030617,0.040440,0.824746,162.549970,197.158371,243.691300,180.990837,159.000000,173.000000,161.000000,183.000000,2479.000000,0.392285,0.340402,0.377456,0.398635,4433.000000,8499.000000,1903.000000,3208.000000,3388.000000,1185.000000,1739.000000,1509.000000
0.023680,0.037293,0.020808,0.862794,185.286941,249.811087,177.118902,165.031907,133.000000,176.000000,183.000000,257.000000,3162.000000,0.193506,0.008117,0.239655,0.007230,3819.000000,6501.000000,4896.000000,1558.000000,47.000000,3049.000000,739.000000,31.000000
0.027406,0.039227,0.043873,1.021883,123.252215,184.666898,206.511520,146.919214,150.000000,172.000000,152.000000,212.000000,2745.000000,0.556268,0.106293,0.592213,0.124180,5927.000000,12200.000000,3460.000000,7225.000000,1515.000000,2000.000000,3297.000000,630.000000
0.023789,0.043195,0.050456,0.929043,157.680588,188.997826,156.694784,145.034154,153.000000,177.000000,168.000000,194.000000,2955.000000,0.108371,0.187718,0.134973,0.270337,8028.000000,15292.000000,9094.000000,2064.000000,4134.000000,5651.000000,870.000000,1507.000000
0.028803,0.035934,0.043630,0.910617,190.704691,229.656039,248.870031,179.862057,180.000000,207.000000,199.000000,230.000000,2384.000000,0.632092,0.211330,0.623150,0.243006,12109.000000,25201.000000,3373.000000,15704.000000,6124.000000,1896.000000,7654.000000,2559.000000
0.026735,0.021573,0.046426,1.133712,121.237962,133.702864,295.106077,150.286777,132.000000,172.000000,190.000000,176.000000,3798.000000,0.063767,0.117454,0.054751,0.165781,9127.000000,16365.000000,12756.000000,896.000000,2713.000000,7473.000000,582.000000,1072.000000
0.022900,0.034945,0.039699,0.970179,160.008185,192.296035,243.429316,155.303981,175.000000,190.000000,183.000000,211.000000,3303.000000,0.407731,0.039232,0.460439,0.048723,12133.000000,21612.000000,10608.000000,9951.000000,1053.000000,6710.000000,4947.000000,476.000000
0.026381,0.033457,0.043479,1.036520,118.685095,172.848045,207.435821,135.055962,136.000000,176.000000,154.000000,203.000000,3553.000000,0.114587,0.039379,0.127731,0.053638,9015.000000,15791.000000,12927.000000,2017.000000,847.000000,7627.000000,1033.000000,355.000000
0.026780,0.036124,0.044895,1.005275,144.409668,199.555779,199.409185,182.666860,151.000000,199.000000,173.000000,223.000000,2985.000000,0.098346,0.266647,0.104303,0.337026,13666.000000,26538.000000,14826.000000,2768.000000,8944.000000,8678.000000,1344.000000,3644.000000
0.025236,0.035106,0.044201,0.885831,164.553838,169.286118,204.935890,131.875019,165.000000,165.000000,171.000000,170.000000,3135.000000,0.124150,0.031690,0.145187,0.044453,10729.000000,18514.000000,15003.000000,2688.000000,823.000000,9057.000000,1332.000000,340.000000
0.023565,0.033766,0.046703,0.907901,141.107894,166.934886,222.165522,145.459624,137.000000,167.000000,155.000000,171.000000,3274.000000,0.149930,0.073847,0.170656,0.108878,12079.000000,20849.000000,15021.000000,3558.000000,2270.000000,9376.000000,1811.000000,892.000000
0.026473,0.030039,0.044987,1.031978,239.971364,167.697726,130.892034,170.369898,147.000000,177.000000,282.000000,196.000000,3292.000000,0.004842,0.202317,0.004766,0.268539,10533.000000,19513.000000,14180.000000,93.000000,5240.000000,8351.000000,51.000000,2131.000000
